"i","pi","accuracy"
1000,3.192,1.60451566986599
101497.487437186,3.13863927121497,-0.0940090807586613
201994.974874372,3.13968206582581,-0.0608158973698258
302492.462311558,3.13639550800718,-0.165430281888324
402989.949748744,3.14039593490866,-0.0380927387185426
503487.43718593,3.14310126354872,0.048020546432026
603984.924623116,3.13943597380879,-0.0686492495625801
704482.412060302,3.14205147226661,0.0146046520795196
804979.899497487,3.14193683789976,0.0109557268530791
905477.386934673,3.14183439702536,0.00769493254617615
1005974.87437186,3.14263514978345,0.0331836844751354
1106472.36180905,3.14444727233092,0.0908653366585188
1206969.84924623,3.13952167269669,-0.0659213692372318
1307467.33668342,3.14324028195214,0.0524456396492345
1407964.8241206,3.14137677605868,-0.00687159523597991
1508462.31155779,3.14045632012366,-0.0361706176272514
1608959.79899497,3.14079693175465,-0.0253286126777441
1709457.28643216,3.14281499902993,0.0389084637927528
1809954.77386935,3.14173596053095,0.00456160161306229
1910452.26130653,3.14188850544479,0.00941725702912066
2010949.74874372,3.14016200750164,-0.0455388793488387
2111447.2361809,3.14054923389611,-0.0332130803938013
2211944.72361809,3.14205139296238,0.0146021277475095
2312442.21105528,3.14233668857133,0.0236833690289373
2412939.69849246,3.1421638944135,0.0181831601576254
2513437.18592965,3.14106596504416,-0.0167650171013278
2613934.67336683,3.14198211748784,0.0123970209058522
2714432.16080402,3.14213931118236,0.0174006516072689
2814929.64824121,3.14043372470192,-0.0368898522393524
2915427.13567839,3.14049899856938,-0.034812120507044
3015924.62311558,3.14058379556425,-0.0321129483286553
3116422.11055276,3.1406438706931,-0.0302006975858804
3216919.59798995,3.14118388483005,-0.0130115137388587
3317417.08542714,3.14162004101999,0.00087176897873853
3417914.57286432,3.14281114141422,0.0387856720708291
3518412.06030151,3.14236076119309,0.0244496243782866
3618909.54773869,3.14205366285133,0.014674380556845
3719407.03517588,3.14147494197216,-0.00374687716104827
3819904.52261307,3.14033608143538,-0.0399979339452905
3920402.01005025,3.13957496410993,-0.0642250508690823
4020899.49748744,3.14268188197596,0.0346712163628027
4121396.98492462,3.14029831325184,-0.0412001325658107
4221894.47236181,3.14000837462522,-0.0504291656897138
4322391.959799,3.14354277131125,0.0620741749961962
4422889.44723618,3.1418194295323,0.00721850244480571
4523386.93467337,3.14266902330046,0.0342619120093257
4623884.42211055,3.14241072517288,0.0260400272502181
4724381.90954774,3.14385252597452,0.0719339721573453
4824879.39698492,3.14138504881003,-0.00660826538173565
4925376.88442211,3.14195083201551,0.0114011733922892
5025874.3718593,3.14170765755902,0.00366069003565617
5126371.85929648,3.14078581147049,-0.0256825823162887
5226869.34673367,3.14138558107652,-0.00659132281315422
5327366.83417085,3.1415842987664,-0.000265942288457666
5427864.32160804,3.14160321438325,0.000336160496439142
5528361.80904523,3.14085304105644,-0.0235425981310655
5628859.29648241,3.14156298258347,-0.000944457464446824
5729356.7839196,3.14221101582084,0.0196830811383775
5829854.27135678,3.1413032209016,-0.00921292860375234
5930351.75879397,3.14178193095734,0.00602488573222537
6030849.24623116,3.14220688103628,0.0195514668582142
6131346.73366834,3.14226496019303,0.021400183835607
