"N","conv","date","start.time","end.time","diff.s"
4,100,"2019-12-03","2019-12-03 08:44:12","2019-12-03 08:44:13",1.16144299507141
4,100,"18233","1575391478.36387","1575391479.50936",1.14548587799072
4,400,"18233","1575391487.79426","1575391490.23296",2.43870496749878
10,400,"18233","1575391566.51922","1575391581.03604",14.5168190002441
20,400,"18233","1575391620.78111","1575391676.80927",56.0281541347504
20,1200,"18233","1575391742.22576","1575391896.137",2.56518716812134
10,10000,"18233","1575392038.61529","1575392382.32612",5.72851380109787
