"beta","M"
2,-1
1.66666666666667,1
1.42857142857143,-1
1.25,-1
1.11111111111111,1
1,1
0.909090909090909,1
0.833333333333333,-0.96875
0.769230769230769,1
0.714285714285714,0.96875
0.666666666666667,1
0.625,0.96875
0.588235294117647,1
0.555555555555556,-1
0.526315789473684,-1
0.5,-0.9375
0.476190476190476,0.84375
0.454545454545455,-0.96875
0.434782608695652,0.65625
0.416666666666667,1
0.4,-0.90625
0.384615384615385,-0.6875
0.37037037037037,-0.6875
0.357142857142857,1
0.344827586206897,0.8125
0.333333333333333,0.21875
0.32258064516129,-0.25
0.3125,-0.25
0.303030303030303,-0.15625
0.294117647058823,-0.125
0.285714285714286,-0.03125
0.277777777777778,-0.125
0.27027027027027,0.15625
0.263157894736842,0.34375
0.256410256410256,-0.21875
0.25,0.09375
0.24390243902439,0.34375
0.238095238095238,0.25
0.232558139534884,0.15625
0.227272727272727,-0.40625
0.222222222222222,0.1875
0.217391304347826,-0.34375
0.212765957446809,-0.375
0.208333333333333,0.28125
0.204081632653061,0.1875
0.2,-0.34375
